id,macrogroup_id,macrogroup_name,education_level,fgos_code,program_name,institution_name,region,budget_seats,url
1,1,IT и цифровые технологии,ВО,09.03.01,Не указано,Учебное заведение не указано,Казань,15 мест (2025),https://postupi.online/postupika/
2,1,IT и цифровые технологии,ВО,09.03.01,Экономика и управление (бакалавриат),РАНХиГСв Финансовом университетеВсе профили,Москва,Есть бюджетные места (2025),https://postupi.online/specialnost/38.03.06/
3,1,IT и цифровые технологии,ВО,09.03.01,Образование и педагогические науки (бакалавриат),Университете Синергияв СФУВсе профили,Красноярск,Есть бюджетные места (2025),https://postupi.online/specialnost/44.03.05/
4,1,IT и цифровые технологии,ВО,09.03.02,Не указано,Учебное заведение не указано,Казань,25 мест (2025),https://postupi.online/postupika/
5,1,IT и цифровые технологии,ВО,09.03.02,Мехатроника и робототехника,Университете Синергияв РГУ им,Ростов-на-Дону,Есть бюджетные места (2025),https://postupi.online/specialnost/15.03.06/
6,1,IT и цифровые технологии,ВО,09.03.02,Реклама и связи с общественностью,Университете Синергияв МГПУВсе профили,Челябинск,Есть бюджетные места (2025),https://postupi.online/specialnost/42.03.01/
7,1,IT и цифровые технологии,ВО,10.03.01,Не указано,Учебное заведение не указано,Казань,25 мест (2025),https://postupi.online/postupika/
8,1,IT и цифровые технологии,ВО,10.03.01,Мехатроника и робототехника,Университете Синергияв РГУ им,Ростов-на-Дону,Есть бюджетные места (2025),https://postupi.online/specialnost/15.03.06/
9,1,IT и цифровые технологии,ВО,10.03.01,Реклама и связи с общественностью,Университете Синергияв МГПУВсе профили,Челябинск,Есть бюджетные места (2025),https://postupi.online/specialnost/42.03.01/
10,1,IT и цифровые технологии,ВО,01.03.02,Не указано,Учебное заведение не указано,Казань,Нет бюджетных мест (2025),https://postupi.online/postupika/
11,1,IT и цифровые технологии,ВО,01.03.02,Экономика и управление (бакалавриат),РАНХиГСв Финансовом университетеВсе профили,Москва,Есть бюджетные места (2025),https://postupi.online/specialnost/38.03.06/
12,1,IT и цифровые технологии,ВО,01.03.02,Образование и педагогические науки (бакалавриат),Университете Синергияв СФУВсе профили,Красноярск,Есть бюджетные места (2025),https://postupi.online/specialnost/44.03.05/
13,1,IT и цифровые технологии,СПО,09.02.06,Не указано,Настроить по ссузу,Москва,20 мест (2025),https://postupi.online/postupika/
14,1,IT и цифровые технологии,СПО,09.02.06,Архитектура,2 профиля обученияРекомендованные:в Колледж Синергия в Москвев Колледж ИХТИ УГНТУ в г. СтерлитамакеВсе профили,Москва,20 мест (2025),https://postupi.online/specialnost-spo/07.02.01/
15,1,IT и цифровые технологии,СПО,09.02.06,Сетевое и системное администрирование,3 профиля обученияРекомендованные:в АУГСГиПв Колледж Президентской академии (КМПО РАНХиГС)Все профили,Москва,40 мест (2025),https://postupi.online/specialnost-spo/09.02.06/
16,1,IT и цифровые технологии,СПО,09.02.06,Мехатроника и мобильная робототехника,3 профиля обученияРекомендованные:в Колледж Синергия в МосквеВсе профили,Москва,25 мест (2025),https://postupi.online/specialnost-spo/15.02.10/
17,1,IT и цифровые технологии,СПО,09.02.06,Химические технологии (СПО),1 профиль обученияРекомендованные:в 26 кадр колледжВсе профили,Москва,Есть бюджетные места (2025),https://postupi.online/specialnost-spo/18.02.13/
